"","nit","en_vm_canal1","en_vm_canal2","en_vm_canal3","en_vm_canal4","en_vm_canal5","en_vm_canal6","en_vm_canal7","en_vm_canal8","en_vm_canal9","en_vm_canal10","en_vm_otros","en_tx_canal1","en_tx_canal2","en_tx_canal3","en_tx_canal4","en_tx_canal5","en_tx_canal6","en_tx_canal7","en_tx_canal8","en_tx_canal9","en_tx_canal10","en_tx_otros","sal_vm_canal5","sal_vm_canal2","sal_vm_canal8","sal_vm_otros","sal_tx_canal5","sal_tx_canal2","sal_tx_canal8","sal_tx_otros","impo_cv","expo_vt","cxp","cxc","totalinventory","pagos_pj","pagos_pn","tiene_ventas_fisicas","tiene_ventas_electronicas","recaudos_pj","recaudos_pn","rotacion_inventarios","rotacion_cxc","rotacion_cxp","ciclo_negocio","ciclo_financiero","tot_entradas_anuales","tot_entradas_mensuales","tot_salidas_anuales","tot_salidas_mensuales"
"1","C4936394968152386565",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,6,0,0,0,0,0,0,6,2,2,5,6,0,0,0,0
"2","C8615176103348111575",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,2,1,0,0,0,0,0,1,3,1,3,4,0,0,0,0
"3","C2364605246729357060",1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,3,1,2,0.456,0.544,1,0,0,0,2,1,2,2,1,2874188123.1,293.695454518,2678975508.7,615.628787845
"4","C7393816976826597531",1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,2,2,1,1,1,0.615,0.385,1,0,0,0,5,2,3,5,5,160170870.27,36.65,60558439.83,10.33333333
"5","C872645851723947566",1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,2,2,2,1,0,1,0,0,0,2,2,1,3,3,723749688.02,371.78333333,622080714.3,53.41666667
"6","C3870380727390720970",1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,3,1,0.59,0.41,0,0,0,0,1,4,1,5,5,82377200.58,19.5,1960611436,90
"7","C1404615104540746817",1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,4,1,1,0,0,0,0,0,2,4,1,6,6,1756788567.7,2.333333333,604532003.5,3.833333333
"8","C7726318191327882846",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,6,0,0,0,0,0,0,6,1,1,6,6,0,0,0,0
"9","C6428084652960048574",1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,3,1,4,1,0,1,0,0,0,6,1,4,6,5,576023013.92,887.99999997,0,0
"10","C6937758062773673148",1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,2,3,6,3,0,1,0,0,0,0,1,3,1,4,4,1352606870.1,28.33333334,968560920.4,1321.833333
"11","C6938443690430410016",1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,2,2,0.741,0.259,1,0,0,0,2,2,1,3,4,2887042267.71,426.295454508,805510760.6,34.000000003
"12","C7157587019886589653",1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,2,2,6,4,4,0.062,0.938,1,0,0,0,1,1,1,2,2,9191664910.33,3035.31944474,3383677202,1664.166667
"13","C1460962288922693118",1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,4,2,3,3,3,0.519,0.481,1,0,0,0,5,3,4,5,5,4202319041.51,449.500000024,1965621218,474.5
"14","C5450482602053655177",1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,2,3,2,0.623,0.377,0,0,0,0,2,3,1,4,4,1453773400.6,19.766666667,681083333.3,6.666666667
"15","C1722188528960302335",1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,2,2,2,4,2,0.386,0.614,0,0,0,0,2,3,1,4,5,5844106409.91,1130.788888899,3810139289.4,394.2166667
"16","C4476832459320426009",1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,2,2,1,2,2,0.709,0.291,0,0,0,0,3,3,1,4,5,337662291.11,26.749999997,238178163.39,117.583333337
"17","C8497084211255542375",1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,2,2,4,3,3,1,0,1,0,0,0,5,3,4,5,3,1004162765.41,555.904761904,655796,1
"18","C3146061519075383431",1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,2,2,4,4,2,0.465,0.535,1,0,0,0,2,4,4,5,3,818824920.92,119.28333333,512354975.7,105.16666667
"19","C3209920532852039283",1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,3,3,2,0.195,0.805,0,0,0,0,2,2,2,3,2,1513738604.15,474.190476194,1171304621,582.5833333
"20","C9009556847754152873",1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,2,4,0.355,0.645,0,0,0,0,6,3,2,6,6,999800523.23,17.05,719259660.83,196.5833333
"21","C7893310572138042309",1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,1,2,0.338,0.662,0,0,0,0,3,1,4,3,1,159452593.75,4,89122050,22.25
"22","C2259359539244597893",1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,2,0.962,0.038,0,0,0,0,3,3,2,4,4,1167326603.41,78.833333333,0,0
"23","C610881603993634736",1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,4,3,2,2,2,0.545,0.455,0,0,0,0,3,2,1,4,5,1507410099.22,202.149999963,502926698.5,165.0833333
"24","C5664836048857676643",1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,2,6,6,3,0.767,0.233,1,0,0.05,0.95,1,2,2,2,2,80416622121.3,81247.95000037,0,0
"25","C8717131793081711131",1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,2,1,0.088,0.912,1,0,0,0,2,4,3,5,5,725883800.91,93.184523803,420408695.8,145.8333333
"26","C6368255339103221282",1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,2,2,2,3,2,0.28,0.72,1,0,0.152,0.848,2,4,4,5,2,1819492173.22,2087.638888886,1512231082,481.0333333
"27","C2940018857410318500",1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,2,2,1,3,1,0.046,0.954,1,0,0.421,0.579,1,2,1,2,3,6222540243.67,605.783333393,5365678571,6926.583333
"28","C8156636940448645328",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,6,6,0.204,0.796,0,0,0,0,6,3,1,6,6,0,0,0,0
"29","C1809288717810707642",1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,3,3,6,6,6,0.556,0.444,0,0,0,0,2,2,2,3,3,18926340685.14,402.910714286,4969060033,743.25
"30","C1400054710210469427",1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,2,2,2,0.338,0.663,0,0,0,0,2,1,2,2,2,1208070588.75,697.375000003,997204268.7,362.0833333
"31","C4747593607709050596",1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,2,0.806,0.194,0,0,0,0,3,4,2,5,5,10998504,6.5,0,0
"32","C2486254357555891154",1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,4,6,5,0.242,0.758,0,0,0,0,2,4,1,5,5,6730413836.47,66.734848484,4744834286.9,2026.484848818
"33","C4984083683935126352",1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,2,2,3,5,3,0.172,0.828,1,0,0,0,2,2,2,3,3,9261075044.6,87.166666667,4880902782.2,1004.416666633
"34","C3602034185194213476",1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,4,2,3,6,6,0.672,0.328,1,0,0,0,6,4,2,6,6,8208586650.9,2715.86111114,944018384.67,169.9166667
"35","C3002200786633618012",1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,3,2,6,6,6,0.814,0.186,1,0,0,0,5,1,3,4,3,29942993314.66,6611.47222249,8828251946,301.8333333
"36","C207633418762907202",1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,2,2,2,1,2,0.22,0.78,1,1,0,0,1,1,2,1,1,5611435720.48,5264.64898974,2875382426.7,980.66666663
"37","C505642642908809987",1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,3,2,4,5,5,0.505,0.495,0,0,0,0,3,3,2,5,5,2227963389.29,119.687878785,1990515594,609.0833333
"38","C4758325762091020533",1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,2,2,1,0,0,0,0,0,5,2,1,5,5,613460345.3,4.714285714,168849682.2,1.833333333
"39","C4159793107663542127",1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,4,2,4,6,6,0.09,0.91,1,0,0,0,6,2,1,6,6,16686234343.59,74450.08333663,3667520481,4685.833333
"40","C58551722613148906",1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,6,6,6,0.134,0.866,0,0,0,0,2,1,1,2,2,5902544103,4.25,5860042488,2477.666667
"41","C9064233095141462827",1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,2,3,2,4,0.949,0.051,1,0,0,0,6,3,4,6,5,1409456473.79,95.964285711,0,0
"42","C1662635067752140382",1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,1,1,2,0.271,0.729,0,0,0,0,4,1,1,4,5,373014016.3,12.75,242064411.4,284.75
"43","C8160725736296901111",1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,4,2,3,3,3,0.544,0.456,1,0,0,0,3,2,2,4,4,1667891164.42,180.500000007,918455306.9,291.8333333
"44","C2567986175375752000",1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,3,6,5,1,0,1,0,0,0,3,4,2,6,6,4066313206.48,278.928787875,0,0
"45","C1121363260754274276",1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,3,2,3,6,6,0.936,0.064,1,0,0,0,4,3,1,5,5,843202507.7,147.055555519,323568594.67,11.555555556
"46","C9004369759239345094",1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,4,2,2,3,1,0.658,0.342,1,0,0,0,1,2,4,3,1,2944140253.94,119.458333337,1898857820.3,223.3333333
"47","C7943953595839607844",1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,2,2,2,2,1,0.13,0.87,0,0,0,0,1,1,2,2,1,1621107013.09,22.83333333,1847268241.67,1734.5
"48","C6124536363514988092",1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,3,2,2,3,2,0.513,0.487,0,0,0,0,3,2,2,4,4,3970812929.28,417.024999967,2339730703.7,890.4166667
"49","C6163122936269229004",1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0.392,0.608,0,0,0,0,1,1,1,1,2,572766803.06,19.999999996,318361940.63,102.666666633
"50","C8743886452827829418",1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,0.413,0.587,0,0,0,0,6,4,4,6,3,435417854.26,44.318181821,0,0
"51","C6499663663135314615",1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,3,2,2,4,4,0.615,0.385,1,0,0,0,5,4,1,5,6,1176064638.96,345.111111111,0,0
"52","C2294358365465492943",1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,2,2,1,2,2,0.302,0.698,0,0,0,0,3,3,1,4,5,388807050.76,34.095238099,1471885367.67,837.95454549
"53","C1230439301798804833",1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,2,2,1,5,6,0.265,0.735,0,0,0,0,3,1,1,4,5,3149361197.64,24.904040404,12289419931.9,192.749999967
